Seq,WOB,RPM,GR,ROP,Q,Torque,Pressure,BlockPos,TFAC,DepthHole,HookLoadA,MWout,TempMudin,TorqueRel,TorqueAbs,Flowout,Pressure,ROPI,ECDBottom,ECDBit,Overpull,HookLoad,OnbtmStatus,InslipsStatus,Depth,DateTime,Date,Time,Wellid,Formation,Activity,BitSize,HoleDepthRounded,ROP,ROP1,ROPI
45522,9.8198,83.2972,29.5898,57.2064,1173.6228,264.7054,2475.9055,54.6817,1,3470.6963,241.3243,6.1921,63.9414,0,264.7054,0,2475.9055,57.2064,8.3,8.3,0,251.2237,1,0,3470.6963,5/28/2012 17:34,5/28/2012,0.731944444,12a,Ekofisk,Drilling,17.5,3471,66.3892,49.7796,57.2064
45523,9.1595,83.2594,29.5898,41.6201,1172.4128,239.1428,2494.9375,54.4978,1,3470.8174,242.0315,6.1921,63.9414,0,239.1428,0,2494.9375,41.6201,8.3,8.3,0,251.2225,1,0,3470.8173,5/28/2012 17:34,5/28/2012,0.732002315,12a,Ekofisk,Drilling,17.5,3471,66.3892,47.0704,41.6201
45524,9.4599,83.0582,29.5898,52.0443,1175.0592,380.2734,2499.801,54.4978,1,3470.9785,241.8235,6.2003,63.9358,0,380.2734,0,2499.801,52.0443,8.3,8.3,0,251.2256,1,0,3470.9786,5/28/2012 17:34,5/28/2012,0.732060185,12a,Ekofisk,Drilling,17.5,3471,50.5817,52.7744,52.0443
45578,14.6394,82.9063,15.7053,2.5977,1195.5392,429.1842,2216.8479,49.9557,1,3473.5188,237.2123,6.2181,63.9295,0,429.1842,0,2216.8479,2.5977,8.3,8.3,0,251.1869,1,0,3473.5189,5/28/2012 17:38,5/28/2012,0.735185185,12a,Ekofisk,Drilling,17.5,3474,28.3138,20.3092,2.5977
45585,12.0835,82.4445,15.7053,44.1922,1193.5057,930.3912,2310.2668,49.4325,1,3473.8818,239.1657,6.2181,63.9295,0,930.3912,0,2310.2668,44.1922,8.3,8.3,0,251.1838,1,0,3473.8415,5/28/2012 17:39,5/28/2012,0.735590278,12a,Ekofisk,Drilling,17.5,3474,28.3138,23.6157,44.1922
45586,17.5511,82.5322,15.7053,54.6036,1195.3577,776.0584,2321.6082,49.3454,1,3473.8818,233.6407,6.2181,63.9295,0,776.0584,0,2321.6082,54.6036,8.3,8.3,0,251.1838,1,0,3473.8818,5/28/2012 17:39,5/28/2012,0.735648148,12a,Ekofisk,Drilling,17.5,3474,28.3138,23.4874,54.6036
45587,16.4583,82.5649,15.7053,54.6061,1195.6516,745.4794,2350.3086,49.2582,1,3473.9221,235.0119,6.2338,63.9256,0,745.4794,0,2350.3086,54.6061,8.3,8.3,0,251.1804,1,0,3473.8818,5/28/2012 17:39,5/28/2012,0.735706019,12a,Ekofisk,Drilling,17.5,3474,24.8535,25.8596,54.6061
45588,15.9238,82.5224,20.2357,36.4041,1193.3281,829.6481,2349.1353,49.2582,1,3474.0027,235.1782,6.2338,63.9256,0,829.6481,0,2349.1353,36.4041,8.3,8.3,0,251.1804,1,0,3473.8818,5/28/2012 17:39,5/28/2012,0.735763889,12a,Ekofisk,Drilling,17.5,3475,24.8535,25.0731,36.4041
45589,17.1074,82.4312,20.2357,36.4118,1191.1595,822.7322,2391.3774,49.2582,1,3474.043,233.7208,6.2338,63.9256,0,822.7322,0,2391.3774,36.4118,8.3,8.3,0,251.182,1,0,3473.9624,5/28/2012 17:39,5/28/2012,0.735821759,12a,Ekofisk,Drilling,17.5,3475,24.8535,26.2338,36.4118
45590,15.8141,82.4948,20.2357,28.616,1189.0714,789.0157,2384.8083,49.0838,1,3474.1238,235.4997,6.2338,63.9256,0,789.0157,0,2384.8083,28.616,8.3,8.3,0,251.1809,1,0,3474.0834,5/28/2012 17:39,5/28/2012,0.73587963,12a,Ekofisk,Drilling,17.5,3475,24.8535,27.8925,28.616
